# Constructed from biom file
#OTU ID	SRR10803248	SRR10803249	SRR10803250	SRR10803251	SRR10803252	SRR10803253	SRR10803254	SRR10803255	SRR10803256	SRR10803257	SRR10803258	SRR10803259	SRR10803260	SRR10803261	SRR10803262	SRR10803263	SRR10803264	SRR10803265	SRR10803266	SRR10803267	SRR10803268	SRR10803269	SRR10803270	SRR10803271	SRR10803272	SRR10803273	SRR10803274	SRR10803275	SRR10803276	SRR10803277	SRR10803278	SRR10803279	SRR10803280	SRR10803281	SRR10803282	SRR10803283	SRR10803284	SRR10803285	SRR10803286	SRR10803287	SRR10803288	SRR10803289	SRR10803290	SRR10803292	SRR10803293	SRR10803294	SRR10803295	SRR10803296	SRR10803297	SRR10803299	SRR10803300	SRR10803301	SRR10803302	SRR10803303	SRR10803304	SRR10803305	SRR10803306	SRR10803307	SRR10803308	SRR10803309	SRR10803310	SRR10803311	SRR10803314	SRR10803315	SRR10803316	SRR10803317	SRR10803318	SRR10803319	SRR10803320	SRR10803321	SRR10803322	SRR10803323	SRR10803324	SRR10803325	SRR10803326	SRR10803327	SRR10803328	SRR10803329	SRR10803330	SRR10803331	SRR10803332	SRR10803333	SRR10803334	SRR10803335	SRR10803336	SRR10803337	SRR10803338	SRR10803339	SRR10803340	SRR10803341	SRR10803342	SRR10803343	SRR10803344	SRR10803345	SRR10803346	SRR10803347	SRR10803348	SRR10803349	SRR10803350	SRR10803351	SRR10803352	SRR10803353	SRR10803354	SRR10803355	SRR10803356	SRR10803357	SRR10803358	SRR10803359	SRR10803360	SRR10803361	SRR10803362	SRR10803363	SRR10803364	SRR10803365	SRR10803366	SRR10803367	SRR10803368	SRR10803369
379561ca239b052ec4b40a31fd1632bf	715.0	0.0	130.0	322.0	0.0	150.0	0.0	2493.0	946.0	816.0	1372.0	820.0	20.0	36.0	4252.0	318.0	0.0	284.0	11740.0	69.0	513.0	8275.0	266.0	1396.0	413.0	0.0	8364.0	0.0	0.0	151.0	1882.0	6920.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	203.0	63.0	0.0	183.0	0.0	423.0	0.0	0.0	0.0	5424.0	255.0	603.0	43.0	511.0	1338.0	97.0	1051.0	2605.0	4185.0	49.0	0.0	5442.0	0.0	622.0	2045.0	22.0	20.0	12.0	990.0	21.0	203.0	205.0	65.0	19.0	183.0	0.0	0.0	871.0	0.0	0.0	143.0	25.0	712.0	1284.0	164.0	6394.0	1375.0	428.0	273.0	1273.0	0.0	229.0	1263.0	0.0	965.0	0.0	0.0	1613.0	0.0	37.0	2103.0	0.0	28.0	13039.0	0.0	395.0	0.0	0.0	2913.0	1244.0	0.0	0.0	0.0	70.0	52.0	0.0	0.0	0.0	0.0
8058e5d0fbe0667d6aa36329676f50aa	0.0	480.0	49.0	0.0	0.0	95.0	27.0	0.0	0.0	15.0	23.0	75.0	5455.0	42.0	0.0	16.0	13.0	2215.0	12.0	0.0	0.0	321.0	7998.0	5011.0	0.0	0.0	16.0	0.0	0.0	0.0	16.0	0.0	921.0	0.0	0.0	0.0	12.0	8800.0	0.0	1420.0	0.0	203.0	0.0	0.0	4.0	95.0	0.0	0.0	326.0	9708.0	246.0	730.0	21.0	38.0	51.0	853.0	1788.0	102.0	9276.0	0.0	0.0	0.0	10.0	0.0	236.0	0.0	10.0	0.0	2515.0	28.0	0.0	0.0	0.0	25.0	961.0	35.0	0.0	47.0	5.0	0.0	0.0	0.0	1896.0	0.0	120.0	63.0	17.0	67.0	42.0	454.0	56.0	62.0	0.0	2640.0	23.0	0.0	600.0	24.0	17563.0	0.0	79.0	3774.0	36.0	0.0	50.0	0.0	214.0	12946.0	13003.0	0.0	0.0	6.0	0.0	0.0	380.0	0.0	358.0	1133.0
b2630588f43d40d66713ad6c76a63b98	4.0	0.0	5411.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2400.0	74.0	0.0	0.0	44.0	1473.0	8.0	102.0	0.0	0.0	0.0	0.0	560.0	0.0	0.0	777.0	7830.0	424.0	977.0	12.0	54.0	34.0	160.0	34.0	0.0	24.0	28.0	2.0	6.0	14.0	0.0	0.0	0.0	4.0	0.0	399.0	0.0	0.0	0.0	0.0	4.0	4621.0	0.0	0.0	71.0	0.0	0.0	26.0	0.0	0.0	148.0	432.0	0.0	21.0	0.0	0.0	11060.0	9995.0	2472.0	2435.0	1603.0	0.0	25.0	0.0	0.0	0.0	0.0	16.0	428.0	1467.0	127.0	105.0	31.0	64.0	3156.0	3122.0	5673.0	2946.0	3547.0	1453.0	345.0	1081.0	0.0	2812.0	1599.0	603.0	0.0	3.0	9.0	1184.0	843.0	2047.0	117.0	263.0	411.0	251.0	51.0	441.0	80.0	271.0	471.0	70.0	137.0	479.0	453.0
c4ad9cdd55773753c3d29b00862d5a7b	0.0	367.0	0.0	0.0	5.0	118.0	0.0	11.0	0.0	0.0	0.0	0.0	4753.0	0.0	43.0	0.0	0.0	1331.0	0.0	0.0	3.0	229.0	4684.0	3330.0	0.0	0.0	0.0	824.0	0.0	0.0	0.0	0.0	643.0	0.0	0.0	0.0	0.0	6627.0	0.0	938.0	0.0	177.0	0.0	0.0	0.0	0.0	0.0	0.0	234.0	7209.0	151.0	645.0	0.0	0.0	0.0	610.0	1046.0	59.0	4714.0	0.0	16.0	0.0	0.0	19.0	161.0	0.0	0.0	34.0	1746.0	0.0	21.0	23.0	0.0	0.0	746.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1045.0	0.0	77.0	0.0	0.0	0.0	0.0	296.0	0.0	0.0	0.0	1536.0	0.0	0.0	345.0	0.0	11524.0	31.0	59.0	2574.0	0.0	12.0	0.0	0.0	139.0	9980.0	10577.0	0.0	0.0	0.0	0.0	0.0	257.0	0.0	260.0	925.0
08b0ca286e6c11420b08bf806ee3ce9a	13.0	985.0	48.0	0.0	0.0	211.0	0.0	11.0	3.0	13.0	12.0	69.0	4534.0	38.0	30.0	0.0	12.0	2769.0	0.0	0.0	0.0	317.0	2496.0	3546.0	0.0	86.0	8.0	0.0	21.0	0.0	0.0	0.0	431.0	0.0	0.0	0.0	7.0	2572.0	12.0	358.0	0.0	161.0	0.0	0.0	0.0	40.0	0.0	1193.0	482.0	6737.0	319.0	498.0	21.0	11.0	36.0	578.0	1201.0	90.0	4242.0	0.0	0.0	0.0	6.0	0.0	273.0	0.0	10.0	9.0	1486.0	5.0	7.0	0.0	3.0	7.0	178.0	29.0	0.0	21.0	0.0	0.0	0.0	0.0	3231.0	0.0	121.0	84.0	9.0	12.0	28.0	431.0	52.0	0.0	19.0	2788.0	0.0	0.0	511.0	17.0	9276.0	22.0	102.0	3494.0	10.0	10.0	15.0	0.0	151.0	12435.0	5643.0	11.0	0.0	4.0	0.0	0.0	298.0	0.0	1186.0	1825.0
5322a409dda7b08892f4bb8317e572cc	0.0	0.0	484.0	0.0	0.0	0.0	123.0	38.0	24.0	163.0	64.0	27.0	0.0	1604.0	0.0	0.0	26.0	12.0	166.0	0.0	1016.0	40.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	163.0	48.0	145.0	0.0	0.0	0.0	0.0	30.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	13.0	15.0	5406.0	19.0	16.0	81.0	0.0	0.0	65.0	0.0	72.0	9.0	86.0	0.0	30.0	147.0	0.0	197.0	247.0	329.0	5482.0	9780.0	0.0	2.0	22.0	0.0	10.0	0.0	0.0	11.0	68.0	3.0	64.0	17.0	30.0	9648.0	657.0	692.0	429.0	579.0	192.0	42.0	189.0	0.0	517.0	154.0	550.0	0.0	0.0	0.0	277.0	48.0	250.0	971.0	1141.0	64.0	28.0	34311.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
735d5400a326c45677f617ab141e3bbe	0.0	0.0	583.0	0.0	0.0	0.0	109.0	145.0	100.0	185.0	158.0	50.0	0.0	1348.0	0.0	0.0	46.0	0.0	105.0	0.0	854.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	181.0	32.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	47.0	39.0	4991.0	0.0	0.0	50.0	0.0	0.0	51.0	0.0	84.0	6.0	75.0	0.0	61.0	169.0	0.0	200.0	210.0	215.0	5509.0	7384.0	0.0	0.0	176.0	10.0	55.0	0.0	0.0	63.0	201.0	0.0	71.0	49.0	0.0	9847.0	1490.0	1402.0	536.0	1226.0	371.0	96.0	232.0	0.0	1092.0	233.0	404.0	0.0	0.0	0.0	188.0	82.0	194.0	1013.0	754.0	52.0	24.0	32702.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
e1b87419787f12bdc15f6fabae2e4754	9.0	0.0	5489.0	127.0	171.0	40.0	266.0	762.0	552.0	1608.0	697.0	176.0	0.0	4699.0	42.0	9.0	71.0	9.0	550.0	0.0	33.0	44.0	0.0	9.0	0.0	486.0	41.0	0.0	100.0	3689.0	165.0	336.0	0.0	0.0	0.0	13.0	64.0	8.0	0.0	0.0	0.0	3.0	6.0	0.0	121.0	758.0	15.0	0.0	163.0	10.0	0.0	5.0	59.0	153.0	5833.0	111.0	57.0	56.0	0.0	0.0	98.0	0.0	795.0	37.0	437.0	8.0	21.0	1004.0	20.0	341.0	227.0	412.0	1839.0	3753.0	0.0	76.0	742.0	319.0	1721.0	238.0	0.0	181.0	666.0	47.0	101.0	107.0	31.0	6581.0	3482.0	3256.0	1110.0	1513.0	815.0	160.0	522.0	0.0	1894.0	646.0	5710.0	32.0	0.0	0.0	656.0	1107.0	4048.0	49.0	703.0	170.0	25.0	70.0	0.0	0.0	10.0	6.0	3.0	0.0	655.0	401.0
4d39ff0c7948435bd37462af5222f323	14.0	0.0	5896.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5202.0	44.0	0.0	158.0	17.0	886.0	4.0	46.0	65.0	0.0	24.0	0.0	1688.0	41.0	11.0	274.0	2398.0	134.0	414.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	134.0	5.0	0.0	7.0	0.0	0.0	8601.0	0.0	0.0	93.0	0.0	0.0	49.0	0.0	0.0	45.0	1097.0	0.0	0.0	0.0	0.0	163.0	114.0	270.0	2004.0	2911.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	187.0	818.0	61.0	111.0	40.0	61.0	7593.0	3933.0	5124.0	1760.0	1852.0	865.0	138.0	1131.0	3.0	1996.0	866.0	4502.0	62.0	12.0	0.0	838.0	1335.0	4640.0	0.0	1155.0	174.0	0.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0	287.0	157.0
00fa5ea185c6418aaef41aeeca238470	0.0	215.0	0.0	0.0	0.0	20.0	0.0	6.0	0.0	0.0	17.0	51.0	250.0	0.0	28.0	0.0	0.0	2333.0	7.0	0.0	0.0	251.0	8724.0	4875.0	0.0	0.0	28.0	387.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5347.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	277.0	542.0	272.0	22.0	0.0	0.0	27.0	67.0	1374.0	97.0	7838.0	0.0	0.0	0.0	0.0	0.0	166.0	0.0	0.0	0.0	341.0	11.0	0.0	10.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1544.0	0.0	85.0	34.0	13.0	0.0	47.0	102.0	13.0	41.0	2.0	1967.0	4.0	0.0	828.0	7.0	10387.0	15.0	0.0	3509.0	31.0	0.0	0.0	0.0	148.0	9137.0	10298.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d1e7d73fb551ef0bc096140d4bff3740	0.0	92.0	17.0	0.0	0.0	48.0	0.0	14.0	0.0	0.0	13.0	50.0	1721.0	42.0	28.0	0.0	6.0	1684.0	0.0	0.0	0.0	304.0	4845.0	3570.0	0.0	32.0	17.0	0.0	0.0	0.0	0.0	0.0	314.0	0.0	0.0	0.0	5.0	5513.0	0.0	277.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	157.0	365.0	2843.0	169.0	476.0	9.0	7.0	17.0	235.0	564.0	23.0	2312.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	13.0	9.0	627.0	0.0	0.0	0.0	0.0	0.0	547.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2667.0	0.0	18.0	42.0	7.0	0.0	16.0	126.0	26.0	30.0	11.0	1877.0	0.0	0.0	381.0	0.0	12214.0	23.0	9.0	2444.0	13.0	0.0	0.0	0.0	90.0	10032.0	11622.0	0.0	0.0	0.0	0.0	0.0	363.0	0.0	156.0	92.0
2936316aba6ef186985459af9718e439	3.0	266.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	21.0	997.0	13.0	0.0	0.0	26.0	1989.0	0.0	0.0	0.0	310.0	4373.0	4467.0	0.0	30.0	15.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5074.0	0.0	81.0	0.0	318.0	0.0	0.0	0.0	0.0	0.0	374.0	140.0	0.0	135.0	201.0	2.0	0.0	0.0	0.0	1442.0	102.0	5282.0	7.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	0.0	310.0	7.0	0.0	0.0	13.0	0.0	117.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	1397.0	0.0	145.0	15.0	9.0	0.0	7.0	677.0	109.0	0.0	0.0	0.0	0.0	0.0	167.0	35.0	5019.0	8.0	41.0	3384.0	25.0	0.0	0.0	0.0	111.0	17283.0	12397.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	351.0	861.0
