Genus	SRR10803248	SRR10803249	SRR10803250	SRR10803251	SRR10803252	SRR10803253	SRR10803254	SRR10803255	SRR10803256	SRR10803257	SRR10803258	SRR10803259	SRR10803260	SRR10803261	SRR10803262	SRR10803263	SRR10803264	SRR10803265	SRR10803266	SRR10803267	SRR10803268	SRR10803269	SRR10803270	SRR10803271	SRR10803272	SRR10803273	SRR10803274	SRR10803275	SRR10803276	SRR10803277	SRR10803278	SRR10803279	SRR10803280	SRR10803281	SRR10803282	SRR10803283	SRR10803284	SRR10803285	SRR10803286	SRR10803287	SRR10803288	SRR10803289	SRR10803290	SRR10803292	SRR10803293	SRR10803294	SRR10803295	SRR10803296	SRR10803297	SRR10803299	SRR10803300	SRR10803301	SRR10803302	SRR10803303	SRR10803304	SRR10803305	SRR10803306	SRR10803307	SRR10803308	SRR10803309	SRR10803310	SRR10803311	SRR10803314	SRR10803315	SRR10803316	SRR10803317	SRR10803318	SRR10803319	SRR10803320	SRR10803321	SRR10803322	SRR10803323	SRR10803324	SRR10803325	SRR10803326	SRR10803327	SRR10803328	SRR10803329	SRR10803330	SRR10803331	SRR10803332	SRR10803333	SRR10803334	SRR10803335	SRR10803336	SRR10803337	SRR10803338	SRR10803339	SRR10803340	SRR10803341	SRR10803342	SRR10803343	SRR10803344	SRR10803345	SRR10803346	SRR10803347	SRR10803348	SRR10803349	SRR10803350	SRR10803351	SRR10803352	SRR10803353	SRR10803354	SRR10803355	SRR10803356	SRR10803357	SRR10803358	SRR10803359	SRR10803360	SRR10803361	SRR10803362	SRR10803363	SRR10803364	SRR10803365	SRR10803366	SRR10803367	SRR10803368	SRR10803369	Total	Percent
Prevotellaceae (family)	33	0	2	0	168	0	0	0	622	0	0	144	0	717	0	4	12	128	3	3	0	0	7	0	0	0	5	0	0	0	2	0	0	0	0	0	623	0	129	1449	1252	14	0	0	0	0	12	0	0	0	0	0	0	0	4116	0	0	0	0	0	0	0	293	0	101	2055	23	2	0	0	5	0	0	0	0	644	0	0	0	0	0	0	0	7719	0	0	0	0	0	0	0	9	1346	47	7	0	0	683	63	0	8990	0	2730	6	0	39927	701	33	0	470	0	0	0	0	0	0	3	8	75310	1.1
Anaerococcus	8	0	14	0	5	16924	0	0	329	0	0	3	0	56	10	38	0	0	0	0	0	0	1837	0	0	0	10	416	0	7	0	7	0	0	0	0	97	0	27	2	1585	24	5	0	0	21	131	0	2	0	24	0	0	0	1894	0	0	0	138	0	2	0	3	0	4	0	33	0	0	5	14	5	0	17	0	670	0	0	0	0	0	0	0	9673	7	0	13726	17	0	20	0	16	8242	36	20	0	5	0	23	0	0	0	350	19	85	0	637	45	0	14	0	0	0	0	0	0	14	0	57316	0.9
Ochrobactrum	4	25	0	1210	986	216	2031	7685	6275	6672	7506	2584	0	0	9	0	11	0	9	0	0	28	0	0	0	0	22	0	0	103	0	0	0	121	13	64	15	0	0	0	0	0	0	0	849	210	0	0	20	0	0	0	177	541	6	268	172	192	3	196	787	47	2708	0	5	21	2	3932	86	69	43	16	21	38	0	0	4534	94	2219	324	0	0	8	5	695	676	0	3	0	0	19	22	0	0	0	0	33	0	6	7	0	0	0	0	34	0	176	189	162	12	96	7	40	65	6	129	0	0	55559	0.8
Prevotella	0	0	20	0	0	0	0	0	1321	0	0	175	0	5	5099	5065	46	0	0	0	0	2	9715	11	0	0	0	174	0	0	0	0	0	0	0	0	2078	0	7	0	128	0	0	0	0	0	27	0	4	0	0	0	0	0	2122	0	0	0	0	4	0	0	71	0	151	325	0	11	0	0	0	0	0	0	24	11065	0	0	0	0	0	0	0	5590	0	6	0	0	22	154	0	101	21	8	11	0	10	21	61	0	0	0	0	0	0	7	6924	56	0	2128	0	0	0	0	0	0	138	12	52920	0.8
Peptoniphilus	12	0	3	0	0	2719	0	0	4031	0	0	0	0	32	31	6	0	0	13545	2	0	7	609	0	0	0	0	38	0	0	0	0	0	0	0	0	50	0	49	0	516	126	0	0	0	38	60	0	4	0	2810	0	0	0	2195	0	0	0	0	0	0	0	0	0	3	0	30	0	0	2	180	0	0	0	0	455	0	0	0	0	0	0	0	659	0	0	0	4	3	9	13510	0	5140	109	0	0	0	0	2	0	1421	0	149	3	0	1561	464	19	0	64	0	0	0	0	0	0	33	0	50703	0.8
Fusobacterium	0	0	84	0	0	0	0	0	7831	0	0	3	0	21	0	0	0	0	0	0	0	0	2	0	0	0	26	2177	0	0	0	0	0	0	0	0	772	0	449	0	0	2	0	0	0	0	22637	0	3	0	5463	0	0	0	18	0	0	0	0	0	0	0	567	4	1358	0	0	2	0	0	0	4	3	12	0	176	0	0	0	0	0	0	0	2957	0	0	0	30	0	0	0	10	0	0	0	0	0	10	65	0	1894	0	5	36	3	66	2865	13	0	17	0	0	0	0	0	0	7	0	49592	0.7
Klebsiella	0	0	459	0	0	837	0	0	0	0	29	20473	271	968	0	0	2980	0	23	4935	0	0	854	21	0	22	316	108	0	0	0	0	8	49	17	28	43	0	0	44	0	0	0	0	0	86	0	82	0	0	0	0	0	0	0	0	13	0	0	0	14	0	80	9	165	0	0	285	9	34	0	0	0	24	0	10	82	123	9	90	9	18	0	0	0	39	4693	103	0	15	0	0	2864	356	0	0	0	0	51	63	1333	260	36	0	97	0	525	102	237	275	19	0	116	128	213	37	175	24	45388	0.7
Morganella	0	51	321	0	0	894	0	0	0	0	0	32	0	0	0	0	0	0	12	0	0	0	1185	0	0	0	0	322	0	0	0	2	57	0	0	0	234	115	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	135	0	0	0	0	0	0	5	0	3	0	0	18	1347	0	0	0	0	0	0	60	106	0	0	0	7487	0	3	0	0	0	0	1966	0	15	0	0	0	0	0	0	240	17	27219	0	0	0	0	0	0	0	8	209	0	7	0	0	1215	0	0	0	28	0	43344	0.6
Corynebacterium	139	0	0	0	0	0	0	3	4570	0	0	0	0	0	11	54	26	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	10753	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	164	0	0	0	52	25	0	0	0	32	0	0	0	0	0	18003	0	0	0	0	0	0	0	0	1066	0	0	0	0	0	0	13	0	50	0	0	0	85	3	0	0	0	0	0	0	0	0	0	0	0	0	0	35272	0.5
Methylobacterium	3770	0	51	26	8	104	1797	3098	637	1939	1543	499	0	11	35	549	34	0	34	0	0	53	4	77	7	152	307	0	27	18	0	2	4	1265	95	129	220	0	0	2	0	4	0	0	24	48	0	0	473	0	0	0	2	14	88	6	0	608	0	0	97	0	281	6	60	0	5618	591	0	65	46	17	48	36	36	0	2	0	0	47	0	2	5	0	67	73	0	113	26	81	44	114	0	0	12	0	67	18	265	76	3	0	14	1034	59	5	2082	78	0	46	2090	13	306	1343	40	1576	34	52	34452	0.5
