Genus	SRR10803248	SRR10803249	SRR10803250	SRR10803251	SRR10803252	SRR10803253	SRR10803254	SRR10803255	SRR10803256	SRR10803257	SRR10803258	SRR10803259	SRR10803260	SRR10803261	SRR10803262	SRR10803263	SRR10803264	SRR10803265	SRR10803266	SRR10803267	SRR10803268	SRR10803269	SRR10803270	SRR10803271	SRR10803272	SRR10803273	SRR10803274	SRR10803275	SRR10803276	SRR10803277	SRR10803278	SRR10803279	SRR10803280	SRR10803281	SRR10803282	SRR10803283	SRR10803284	SRR10803285	SRR10803286	SRR10803287	SRR10803288	SRR10803289	SRR10803290	SRR10803292	SRR10803293	SRR10803294	SRR10803295	SRR10803296	SRR10803297	SRR10803299	SRR10803300	SRR10803301	SRR10803302	SRR10803303	SRR10803304	SRR10803305	SRR10803306	SRR10803307	SRR10803308	SRR10803309	SRR10803310	SRR10803311	SRR10803314	SRR10803315	SRR10803316	SRR10803317	SRR10803318	SRR10803319	SRR10803320	SRR10803321	SRR10803322	SRR10803323	SRR10803324	SRR10803325	SRR10803326	SRR10803327	SRR10803328	SRR10803329	SRR10803330	SRR10803331	SRR10803332	SRR10803333	SRR10803334	SRR10803335	SRR10803336	SRR10803337	SRR10803338	SRR10803339	SRR10803340	SRR10803341	SRR10803342	SRR10803343	SRR10803344	SRR10803345	SRR10803346	SRR10803347	SRR10803348	SRR10803349	SRR10803350	SRR10803351	SRR10803352	SRR10803353	SRR10803354	SRR10803355	SRR10803356	SRR10803357	SRR10803358	SRR10803359	SRR10803360	SRR10803361	SRR10803362	SRR10803363	SRR10803364	SRR10803365	SRR10803366	SRR10803367	SRR10803368	SRR10803369	Total	Percent
Citrobacter	8	48	149	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	1625	0.0
Tepidiphilus	0	0	61	0	0	0	0	0	0	3	0	0	0	19	0	6	4	0	56	0	0	0	0	2	0	134	319	0	0	4	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	39	0	0	0	0	13	96	16	15	44	3	0	2	0	0	0	0	0	0	0	0	11	0	105	0	0	0	0	0	0	0	0	0	0	170	13	0	0	34	23	105	0	8	4	0	0	0	0	0	0	0	0	137	6	1543	0.0
Solobacterium	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	19	0	0	0	0	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	11	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	168	0	0	44	0	0	0	0	0	0	0	0	1403	0.0
Lachnospiraceae (family)	0	0	16	0	138	0	0	0	390	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	51	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	30	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	11	0	6	644	3	0	0	0	0	0	0	0	0	0	0	0	1390	0.0
Salmonella	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1388	0.0
Paracoccus	0	0	60	0	0	0	0	0	0	0	0	0	0	31	11	0	49	2	72	32	0	33	0	0	0	3	30	0	0	57	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	7	60	4	2	0	0	0	12	0	0	32	8	0	0	7	0	18	20	19	34	22	2	0	0	0	0	0	0	0	44	0	11	3	0	106	0	62	6	26	13	0	9	0	17	0	71	12	0	0	8	0	80	0	147	31	0	4	6	0	0	0	0	0	0	0	1331	0.0
Rheinheimera	2	0	12	0	0	0	0	8	0	0	0	0	0	0	0	0	28	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	66	0	0	0	0	0	8	0	0	0	0	0	15	0	23	0	0	0	5	0	0	0	7	0	0	0	0	18	31	0	4	9	0	0	0	0	0	0	0	0	537	0	13	7	0	36	0	12	14	9	0	0	0	0	0	0	66	0	0	0	6	0	33	0	215	10	0	16	0	0	0	0	0	0	0	2	1250	0.0
Bifidobacterium	0	0	0	0	0	34	398	0	0	3	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	1227	0.0
Leptotrichiaceae (family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225	0	0	0	0	0	0	0	0	0	0	0	1225	0.0
Clostridium sensu stricto 1	0	0	27	0	0	0	0	0	48	0	5	0	0	40	10	0	0	0	21	0	0	8	0	0	0	0	0	0	0	9	0	83	0	0	12	6	0	0	0	0	12	3	35	18	0	0	0	0	18	0	0	0	0	6	133	4	0	26	0	5	4	0	4	0	0	0	0	0	0	8	3	0	5	20	0	0	0	0	0	0	0	0	9	0	12	7	0	48	12	8	31	43	0	0	13	0	19	26	0	0	371	0	0	0	32	0	0	11	4	0	0	0	0	0	0	0	0	0	1219	0.0
Lysinibacillus	0	0	0	0	9	0	0	88	48	67	43	4	0	0	0	0	38	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	11	0	7	0	9	13	4	65	0	0	0	0	154	0	110	64	23	59	155	0	0	16	0	22	0	0	0	0	0	32	19	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	34	0	0	0	7	0	0	0	0	0	48	4	1206	0.0
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	8	0	0	0	0	0	0	0	0	0	0	0	1195	0.0
Family XI (family)	0	0	0	0	0	253	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	0.0
Novosphingobium	0	0	3	0	0	0	0	0	0	0	0	0	0	5	5	0	7	0	0	0	0	0	0	0	0	0	3	0	0	2	4	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	5	2	5	0	0	0	0	13	0	2	0	0	0	3	3	0	12	12	0	0	9	0	0	3	0	0	0	0	0	259	0	0	10	0	18	2	3	0	30	0	0	0	0	7	2	31	144	2	0	0	0	11	0	304	9	0	7	0	0	0	0	0	0	2	0	1071	0.0
Facklamia	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	882	0	2	0	0	0	0	18	0	0	9	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	998	0.0
Gemella	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	382	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	945	0.0
Brevibacterium	0	0	10	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	7	36	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	9	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	2	0	187	0	58	0	43	0	48	0	0	0	0	0	0	0	0	0	0	0	941	0.0
Caulobacter	0	0	82	0	0	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	0	0	0	0	16	25	0	0	0	0	4	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	47	0	0	0	0	92	30	2	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	2	0	47	0	0	0	0	10	101	0	229	3	5	8	0	0	0	0	0	0	0	0	875	0.0
Mycoplasma	0	0	0	0	0	0	864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	0.0
Howardella	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	834	0.0
Aquabacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	104	17	0	0	0	0	14	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	7	2	0	0	0	0	19	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	3	0	24	0	0	15	0	0	0	0	0	0	69	243	826	0.0
Sutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815	0.0
Aneurinibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	146	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	327	0	20	72	8	183	0	0	783	0.0
Meiothermus	0	0	0	0	0	0	118	152	50	241	75	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2	23	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	5	0	0	0	0	0	751	0.0
Pelomonas	0	0	55	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	69	0	0	0	0	11	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	21	50	68	40	19	0	0	0	0	0	0	0	0	0	6	745	0.0
Oceanivirga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708	0	0	0	0	0	0	0	0	0	0	0	708	0.0
Kocuria	10	0	0	0	0	0	0	0	0	3	0	0	0	12	65	0	16	0	101	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	82	0	0	0	3	0	4	10	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	25	4	0	0	0	0	0	20	0	0	0	7	7	0	0	96	0	60	0	43	34	0	0	0	0	0	0	0	0	0	0	688	0.0
Haemophilus	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	0	0	0	22	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	3	0	0	678	0.0
Thermaceae (family)	0	0	0	0	0	0	101	153	40	185	46	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	0	5	0	0	0	0	0	0	2	0	27	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	4	0	0	0	0	652	0.0
Phreatobacter	0	0	31	0	0	0	35	69	3	41	4	0	0	17	0	0	8	0	23	0	0	0	0	0	0	0	0	0	95	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	12	0	0	20	0	10	26	3	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	19	9	2	10	0	0	0	2	0	12	0	0	0	0	31	41	0	0	0	0	0	0	0	0	0	0	0	4	0	616	0.0
Cupriavidus	0	0	9	0	3	0	12	83	22	16	31	5	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	110	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	5	3	0	0	0	5	0	0	0	4	0	0	26	0	6	7	0	0	5	0	0	0	0	0	0	0	0	16	0	2	29	0	0	3	7	5	0	0	0	3	0	4	14	32	0	0	0	23	5	14	0	0	0	2	0	0	0	0	0	0	0	0	4	600	0.0
Mogibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	12	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	12	0	318	29	0	0	4	0	0	0	0	0	0	0	0	596	0.0
Flavobacterium	0	0	0	0	0	0	26	32	0	66	32	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	10	14	0	0	0	0	5	2	4	0	0	25	0	10	11	0	2	0	0	0	0	0	0	0	0	0	73	0	36	9	0	0	8	15	0	5	0	0	0	0	0	0	40	0	0	0	0	0	9	0	109	0	0	8	0	0	0	0	0	0	0	0	592	0.0
Aerococcaceae (family)	0	0	0	0	0	0	0	0	279	0	0	0	0	5	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	582	0.0
Paenibacillus	0	0	2	0	0	0	0	8	0	3	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	156	8	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	24	145	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	575	0.0
Campylobacter	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	5	0	0	0	0	0	114	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0.0
Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	560	0.0
Phenylobacterium	5	0	0	0	0	0	65	123	34	110	54	12	0	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	29	0	6	4	0	0	0	7	0	3	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	32	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0.0
Beijerinckiaceae (family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	2	4	0	5	0	0	0	2	0	0	0	0	535	0.0
Labrenzia	0	0	22	0	2	0	0	0	0	8	0	0	0	20	4	4	10	0	21	0	0	22	0	0	0	14	31	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	18	0	0	5	0	4	3	2	3	0	5	0	0	0	0	23	36	0	5	32	0	0	6	0	0	0	0	0	0	0	20	0	0	15	4	0	3	0	0	0	0	0	2	0	78	4	0	0	25	0	51	13	0	0	0	0	0	0	0	0	0	0	0	0	527	0.0
Dolosigranulum	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0.0
Altererythrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	5	0	0	4	0	0	0	0	0	0	0	0	13	0	0	36	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	489	0.0
Hungatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0.0
Clostridiaceae 1 (family)	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0.0
Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	468	0.0
Rhodococcus	308	0	11	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	5	0	4	35	0	0	2	0	0	0	0	0	0	0	0	11	0	13	0	0	0	0	0	0	0	0	0	0	4	0	2	0	8	0	4	0	2	7	0	0	0	0	0	0	0	0	4	0	461	0.0
Brevibacillus	0	0	0	0	0	0	0	9	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	17	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	3	12	2	18	0	23	0	0	20	0	0	0	26	0	0	5	0	5	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	3	0	3	0	14	16	0	0	0	0	0	0	0	100	0	6	0	0	0	7	0	19	25	0	0	0	0	4	5	0	0	30	5	449	0.0
Dermacoccaceae (family)	8	0	41	0	0	0	0	0	63	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	19	0	0	0	0	0	3	0	0	0	0	0	7	0	0	9	6	0	0	10	0	0	0	0	0	0	0	0	6	0	53	0	0	4	0	0	0	0	0	0	0	0	33	0	14	0	0	0	19	0	11	0	0	47	24	0	0	0	0	0	0	0	0	0	445	0.0
Myroides	0	0	0	0	114	53	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	11	83	0	26	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	51	26	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	4	0	0	0	0	0	0	0	0	439	0.0
Brachybacterium	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	158	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	7	0	0	0	3	0	0	0	0	0	22	0	32	0	61	0	4	0	0	0	0	0	0	0	0	0	426	0.0
Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	348	2	0	0	0	0	0	0	0	0	0	11	0	0	0	16	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	413	0.0
Shewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0.0
