OTU_369	SRR10803250.96709;size=3
OTU_370	SRR10803250.98551;size=3
OTU_371	SRR10803271.13066;size=3
OTU_372	SRR10803271.20855;size=3
OTU_373	SRR10803271.33177;size=3
OTU_374	SRR10803271.72928;size=3
OTU_375	SRR10803282.112;size=3
OTU_376	SRR10803282.11544;size=3
OTU_377	SRR10803282.14188;size=3
OTU_378	SRR10803282.16171;size=3
OTU_379	SRR10803282.1626;size=3
OTU_380	SRR10803282.2903;size=3
OTU_381	SRR10803282.30606;size=3
OTU_382	SRR10803282.6433;size=3
OTU_383	SRR10803282.6496;size=3
OTU_384	SRR10803250.101344;size=2
OTU_385	SRR10803250.101569;size=2
OTU_386	SRR10803250.101648;size=2
OTU_387	SRR10803250.101682;size=2
OTU_388	SRR10803250.102554;size=2
OTU_389	SRR10803250.102695;size=2
OTU_390	SRR10803250.103481;size=2
OTU_391	SRR10803250.103779;size=2
OTU_392	SRR10803250.109606;size=2
OTU_393	SRR10803250.111567;size=2
OTU_394	SRR10803250.112000;size=2
OTU_395	SRR10803250.115595;size=2
OTU_396	SRR10803250.116086;size=2
OTU_397	SRR10803250.116144;size=2
OTU_398	SRR10803250.116574;size=2
OTU_399	SRR10803250.116648;size=2
OTU_400	SRR10803250.116789;size=2
OTU_401	SRR10803250.120796;size=2
OTU_402	SRR10803250.12083;size=2
OTU_403	SRR10803250.12111;size=2
OTU_404	SRR10803250.121597;size=2
OTU_405	SRR10803250.122904;size=2
OTU_406	SRR10803250.124477;size=2
OTU_407	SRR10803250.125181;size=2
OTU_408	SRR10803250.125367;size=2
OTU_409	SRR10803250.130230;size=2
OTU_410	SRR10803250.130875;size=2
OTU_411	SRR10803250.131149;size=2
OTU_412	SRR10803250.131754;size=2
OTU_413	SRR10803250.132987;size=2
OTU_414	SRR10803250.134527;size=2
OTU_415	SRR10803250.13561;size=2
OTU_416	SRR10803250.136389;size=2
OTU_417	SRR10803250.136687;size=2
OTU_418	SRR10803250.137436;size=2
OTU_419	SRR10803250.137601;size=2
OTU_420	SRR10803250.13846;size=2
