OTU_ID	SRR10803250	SRR10803271	SRR10803282
OTU_427	2	0	0
OTU_428	2	0	0
OTU_429	4	0	0
OTU_43	62	0	1134
OTU_430	4	0	0
OTU_431	20	0	0
OTU_432	6	0	0
OTU_433	2	0	0
OTU_434	32	0	0
OTU_435	4	0	0
OTU_436	2	0	0
OTU_437	2	0	0
OTU_438	2	0	0
OTU_439	6	0	0
OTU_44	2038	146	4
OTU_440	4	0	0
OTU_441	4	0	0
OTU_442	8	0	0
OTU_443	8	0	0
OTU_444	4	0	0
OTU_445	2	0	0
OTU_446	2	0	0
OTU_447	2	0	0
OTU_448	8	0	0
OTU_449	4	0	0
OTU_45	318	257	0
OTU_450	2	0	0
OTU_451	66	240	0
OTU_452	78	0	0
OTU_453	2	0	0
OTU_454	2	0	0
OTU_455	16	0	0
OTU_456	2	0	0
OTU_457	2	0	0
OTU_458	2	0	0
OTU_459	4	0	0
OTU_46	160	71	9
OTU_460	2	0	0
OTU_461	6	0	0
OTU_462	6	0	0
OTU_463	2	2	0
OTU_464	2	0	0
OTU_465	8	0	0
OTU_466	2	0	0
OTU_467	2	2	0
OTU_468	4	2	0
OTU_469	4	0	0
OTU_47	961	0	0
OTU_470	8	0	0
OTU_471	2	0	0
OTU_472	2	0	0
OTU_473	4	0	0
OTU_474	2	2	0
OTU_475	4	0	0
OTU_476	2	0	0
OTU_477	6	0	0
OTU_478	2	0	0
OTU_479	2	0	0
OTU_48	326	132	0
OTU_480	2	2	0
OTU_481	2	0	0
OTU_482	4	0	0
OTU_483	2	0	0
OTU_484	2	0	0
OTU_485	4	0	0
OTU_486	2	0	0
OTU_487	2	0	0
OTU_488	2	0	0
OTU_489	2	0	0
OTU_49	8431	906	4
OTU_490	2	0	0
OTU_491	6	0	0
OTU_492	2	0	0
OTU_493	2	0	0
OTU_494	2	0	0
OTU_495	2	0	0
OTU_496	6	0	0
OTU_497	2	0	0
OTU_498	2	0	0
OTU_499	2	0	0
OTU_5	20444	4197	9
OTU_50	157	2	2
OTU_500	2	0	0
OTU_501	2	0	0
OTU_502	8	0	2
OTU_503	2	0	0
OTU_504	8	0	0
OTU_505	2	0	0
OTU_506	2	0	0
OTU_507	2	0	0
OTU_508	82	4	2
OTU_509	2	0	0
OTU_51	10	166	0
OTU_510	2	0	0
OTU_511	2	0	0
OTU_512	2	0	0
OTU_513	2	0	0
OTU_514	2	0	0
OTU_515	2	0	0
OTU_516	22	0	0
OTU_517	2	6	0
OTU_518	2	0	0
OTU_519	2	2	0
OTU_52	462	0	0
OTU_520	4	0	0
OTU_521	2	0	0
OTU_522	2	0	0
OTU_523	2	2	0
OTU_524	2	0	0
OTU_525	2	0	0
OTU_526	2	0	0
OTU_527	4	0	0
OTU_528	2	0	0
OTU_529	2	0	0
OTU_53	273	0	0
OTU_530	2	0	0
OTU_531	2	0	0
OTU_532	2	0	0
OTU_533	2	0	0
OTU_534	4	0	0
OTU_535	2	0	0
OTU_536	2	0	0
OTU_537	4	2	0
OTU_538	4	0	0
OTU_539	2	0	0
OTU_54	266	1213	0
OTU_540	4	0	0
OTU_541	2	0	0
OTU_542	2	0	0
OTU_543	2	0	0
OTU_544	2	0	0
OTU_545	2	0	0
OTU_546	2	0	0
OTU_547	4	0	0
OTU_548	2	0	0
OTU_549	2	0	0
OTU_55	502	0	4
OTU_550	2	0	0
OTU_551	2	0	0
OTU_552	4	0	0
OTU_553	2	0	0
OTU_554	2	0	0
OTU_555	2	0	0
OTU_556	2	0	0
OTU_557	2	0	0
OTU_558	2	0	0
OTU_559	2	0	0
OTU_56	161	21	2
OTU_560	2	0	0
OTU_561	2	0	0
OTU_562	2	0	0
OTU_563	2	0	0
OTU_564	10	4	0
OTU_565	2	0	0
OTU_566	2	0	0
OTU_567	2	0	0
OTU_568	2	0	0
OTU_569	2	0	0
OTU_57	100	0	0
OTU_570	4	0	0
OTU_571	2	0	0
OTU_572	2	0	0
OTU_573	2	0	0
OTU_574	2	0	0
OTU_575	2	0	0
OTU_576	2	0	0
OTU_577	2	0	0
OTU_578	2	0	0
OTU_579	2	0	0
OTU_58	57	2896	0
OTU_580	2	0	0
OTU_581	2	0	0
OTU_582	2	0	0
OTU_583	2	0	4
OTU_584	2	0	0
OTU_585	2	0	0
OTU_586	2	0	0
OTU_587	2	0	0
OTU_588	2	0	0
OTU_589	2	0	0
OTU_59	965	0	0
OTU_590	2	0	0
OTU_591	2	0	0
OTU_592	2	0	0
OTU_593	6	2	2
OTU_594	2	0	0
OTU_595	2	0	0
OTU_596	2	0	0
OTU_597	2	0	0
OTU_598	2	0	0
OTU_599	2	0	0
OTU_6	5702	8041	0
OTU_60	199	8	0
OTU_600	2	0	0
OTU_601	2	0	0
OTU_602	0	2	0
OTU_603	0	4	0
OTU_604	0	2	0
OTU_605	0	2	0
OTU_606	0	2	0
OTU_607	0	2	0
OTU_608	0	2	0
OTU_609	0	8	0
OTU_61	240	10	9
OTU_610	0	2	0
OTU_611	0	24	0
OTU_612	0	0	8
OTU_613	0	0	6
OTU_614	0	0	2
OTU_615	0	0	4
OTU_616	0	0	4
OTU_617	0	0	10
OTU_618	0	0	4
OTU_619	0	0	2
OTU_62	20	80	0
OTU_620	0	0	2
OTU_621	0	0	2
OTU_622	0	0	2
OTU_623	0	0	2
OTU_624	0	0	2
OTU_625	0	0	2
OTU_63	260	853	293
OTU_64	864	133	4
OTU_65	519	0	0
OTU_66	124	0	0
OTU_67	202	0	0
OTU_68	335	0	0
OTU_69	95	0	0
OTU_7	12821	0	0
OTU_70	209	0	0
OTU_71	97	0	0
OTU_72	117	0	0
OTU_73	203	0	0
OTU_74	160	0	0
OTU_75	58	0	0
OTU_76	225	2	57
OTU_77	2240	0	0
OTU_78	54	16	0
OTU_79	66	0	0
OTU_8	12337	8004	0
OTU_80	43	0	0
OTU_81	9	28	104
OTU_82	49	0	0
OTU_83	37	0	0
OTU_84	3	137	0
OTU_85	272	0	0
OTU_86	2454	0	0
OTU_87	77	0	0
OTU_88	59	9	49
OTU_89	70	0	0
OTU_9	6358	11	0
OTU_90	47	36	0
OTU_91	73	6	0
OTU_92	123	8	0
OTU_93	42	62	3
OTU_94	87	18	11
OTU_95	401	0	0
OTU_96	67	28	5
OTU_97	75	29	25
OTU_98	120	142	27
OTU_99	67	0	0
