Feature ID	Taxon	Consensus
0226e9bc002bd89109050ac90177c232	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XI;D_5__Helcococcus	0.6
022aac08e7b6dee8346284a15dadeb70	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Propionibacteriaceae	1.0
023bc55d04bb8e35445ffd2603b40899	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Roseomonas	0.6
023c18c12134cc99eb91fdd83f801192	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales;D_4__Enterobacteriaceae;D_5__Morganella;D_6__uncultured Morganella sp.	0.7
0246d3743457461c2d8fd7a74a6860b1	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Micavibrionales;D_4__uncultured	0.6
024c5285df3efe0e323e5e5b62e8f971	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae;D_5__Micrococcus	0.8
025b824947df3ef9d13c692955edf2bf	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae;D_5__Neisseria	0.6
025d8bfffb99a20903ec01df5e9f2d48	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Gemmatales;D_4__Gemmataceae;D_5__Fimbriiglobus	0.7
026d4ac10cdc899988bd3c029b200fbb	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Paracoccus	0.8
0286e16633496873d8817306db329ea7	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus	0.7
029e958809a0c6815d1e8b4700273a6b	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;D_5__[Eubacterium] nodatum group;D_6__uncultured bacterium	0.6
02ae1d92d7c5d6ad99c8bdb6660eb900	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria	0.6
02b42b1596b6abe522fa4e945b5fe96c	D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__67-14	0.7
02bcb0019127dcbf232ea42aed470b43	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus	1.0
02be137b0835533db938e87234158ae5	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XI;D_5__Anaerococcus;D_6__uncultured bacterium	0.8
02c430ca56f65046b3f2b78e47e23296	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Nocardioidaceae;D_5__Nocardioides;D_6__uncultured bacterium	0.6
02c6064398dcc42791716285d2474741	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Methylobacterium	1.0
02cce92794d330be7ddb290913c62f2c	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Facklamia	0.6
02d1dc538da071ae99de372630ca1359	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Veillonella;D_6__uncultured bacterium	0.7
02d839870bf43ee4b4667a0b3a02b126	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XI;D_5__Anaerococcus;D_6__uncultured bacterium	0.8
02decbaca0242615aeab0885d61c297d	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae;D_5__Enterococcus	1.0
02dfcfea7ec051ad9d7fc4700a4fcc5c	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium 1;D_6__uncultured bacterium	0.8
